DATE,RSNSRN
1992-01-01,6860
1992-02-01,6059
1992-03-01,6297
1992-04-01,6022
1992-05-01,5803
1992-06-01,5761
1992-07-01,5834
1992-08-01,5830
1992-09-01,6334
1992-10-01,7275
1992-11-01,7725
1992-12-01,8701
1993-01-01,6723
1993-02-01,6620
1993-03-01,7481
1993-04-01,6606
1993-05-01,6497
1993-06-01,5904
1993-07-01,5813
1993-08-01,6201
1993-09-01,7099
1993-10-01,7786
1993-11-01,9151
1993-12-01,9930
1994-01-01,7845
1994-02-01,7481
1994-03-01,8379
1994-04-01,7399
1994-05-01,7171
1994-06-01,7010
1994-07-01,6507
1994-08-01,7480
1994-09-01,7770
1994-10-01,8752
1994-11-01,9729
1994-12-01,10757
1995-01-01,8346
1995-02-01,7991
1995-03-01,8768
1995-04-01,7564
1995-05-01,7876
1995-06-01,7411
1995-07-01,6841
1995-08-01,7922
1995-09-01,8240
1995-10-01,9412
1995-11-01,10979
1995-12-01,12166
1996-01-01,9546
1996-02-01,9417
1996-03-01,9777
1996-04-01,9182
1996-05-01,8881
1996-06-01,8118
1996-07-01,8210
1996-08-01,8470
1996-09-01,9228
1996-10-01,11008
1996-11-01,12024
1996-12-01,13900
1997-01-01,10532
1997-02-01,9813
1997-03-01,10607
1997-04-01,10064
1997-05-01,9695
1997-06-01,9396
1997-07-01,9495
1997-08-01,9104
1997-09-01,10278
1997-10-01,11506
1997-11-01,11852
1997-12-01,13848
1998-01-01,10470
1998-02-01,9970
1998-03-01,11326
1998-04-01,10391
1998-05-01,10100
1998-06-01,10217
1998-07-01,10264
1998-08-01,10044
1998-09-01,10884
1998-10-01,12327
1998-11-01,12990
1998-12-01,14921
1999-01-01,11463
1999-02-01,11018
1999-03-01,12876
1999-04-01,11835
1999-05-01,11382
1999-06-01,11574
1999-07-01,11104
1999-08-01,11918
1999-09-01,12683
1999-10-01,13431
1999-11-01,14895
1999-12-01,17618
2000-01-01,13786
2000-02-01,14212
2000-03-01,15318
2000-04-01,13093
2000-05-01,13851
2000-06-01,13787
2000-07-01,12669
2000-08-01,14414
2000-09-01,14763
2000-10-01,16317
2000-11-01,17645
2000-12-01,20598
2001-01-01,16639
2001-02-01,14623
2001-03-01,16240
2001-04-01,14259
2001-05-01,14192
2001-06-01,13386
2001-07-01,13054
2001-08-01,14445
2001-09-01,13150
2001-10-01,15774
2001-11-01,16490
2001-12-01,18311
2002-01-01,15901
2002-02-01,14323
2002-03-01,15690
2002-04-01,15105
2002-05-01,15145
2002-06-01,13640
2002-07-01,14308
2002-08-01,14867
2002-09-01,14718
2002-10-01,16845
2002-11-01,17574
2002-12-01,21163
2003-01-01,17642
2003-02-01,16473
2003-03-01,17113
2003-04-01,15858
2003-05-01,15599
2003-06-01,15055
2003-07-01,15289
2003-08-01,15794
2003-09-01,16926
2003-10-01,18723
2003-11-01,18510
2003-12-01,23377
2004-01-01,19206
2004-02-01,18245
2004-03-01,19195
2004-04-01,17749
2004-05-01,16596
2004-06-01,16973
2004-07-01,16647
2004-08-01,18079
2004-09-01,18527
2004-10-01,19672
2004-11-01,21599
2004-12-01,26489
2005-01-01,20592
2005-02-01,19305
2005-03-01,21725
2005-04-01,19491
2005-05-01,19173
2005-06-01,19232
2005-07-01,18094
2005-08-01,20891
2005-09-01,20821
2005-10-01,22077
2005-11-01,24299
2005-12-01,29879
2006-01-01,23280
2006-02-01,21965
2006-03-01,25117
2006-04-01,21171
2006-05-01,22671
2006-06-01,21909
2006-07-01,20515
2006-08-01,23323
2006-09-01,22304
2006-10-01,24580
2006-11-01,26329
2006-12-01,31179
2007-01-01,25438
2007-02-01,24352
2007-03-01,25727
2007-04-01,23529
2007-05-01,24347
2007-06-01,23146
2007-07-01,23423
2007-08-01,24888
2007-09-01,23498
2007-10-01,26932
2007-11-01,29497
2007-12-01,33990
2008-01-01,27673
2008-02-01,25919
2008-03-01,26301
2008-04-01,26076
2008-05-01,25730
2008-06-01,24896
2008-07-01,25482
2008-08-01,24894
2008-09-01,25609
2008-10-01,26665
2008-11-01,25853
2008-12-01,34054
2009-01-01,25870
2009-02-01,23790
2009-03-01,25357
2009-04-01,23758
2009-05-01,23130
2009-06-01,24285
2009-07-01,24096
2009-08-01,24023
2009-09-01,24817
2009-10-01,26181
2009-11-01,28365
2009-12-01,37480
2010-01-01,27365
2010-02-01,25743
2010-03-01,28768
2010-04-01,26480
2010-05-01,25502
2010-06-01,26773
2010-07-01,25188
2010-08-01,27180
2010-09-01,27205
2010-10-01,27550
2010-11-01,31867
2010-12-01,41336
2011-01-01,30631
2011-02-01,28506
2011-03-01,31733
2011-04-01,28411
2011-05-01,29127
2011-06-01,29133
2011-07-01,27086
2011-08-01,30417
2011-09-01,29562
2011-10-01,30717
2011-11-01,36423
2011-12-01,44598
2012-01-01,32592
2012-02-01,31841
2012-03-01,33336
2012-04-01,30734
2012-05-01,32666
2012-06-01,30726
2012-07-01,30579
2012-08-01,33237
2012-09-01,31095
2012-10-01,34206
2012-11-01,39858
2012-12-01,47301
2013-01-01,36425.0
2013-02-01,33102.0
2013-03-01,34767.0
2013-04-01,33683.0
2013-05-01,33936
2013-06-01,31462.0
2013-07-01,32805.0
2013-08-01,33852.0
2013-09-01,32655.0
2013-10-01,35200.0
2013-11-01,39675.0
2013-12-01,52426.0
2014-01-01,37485
2014-02-01,34859.0
2014-03-01,37557.0
2014-04-01,35930.0
2014-05-01,35906.0
2014-06-01,35255.0
2014-07-01,35945.0
2014-08-01,35926.0
2014-09-01,36671.0
2014-10-01,39013.0
2014-11-01,42611.0
2014-12-01,57034.0
